transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000007430	ENSRNOG00000005437	protein_coding	Rida
ENSRNOT00000084656	ENSRNOG00000066134	protein_coding	Olfr287
ENSRNOT00000031946	ENSRNOG00000026807	protein_coding	Ttc41
ENSRNOT00000059545	ENSRNOG00000026807	protein_coding	Ttc41
ENSRNOT00000077730	ENSRNOG00000005243	protein_coding	Pop1
ENSRNOT00000007190	ENSRNOG00000005243	protein_coding	Pop1
ENSRNOT00000010990	ENSRNOG00000025898	protein_coding	C7h12orf40
ENSRNOT00000094492	ENSRNOG00000025898	protein_coding	C7h12orf40
ENSRNOT00000026551	ENSRNOG00000019552	protein_coding	Lsm7
ENSRNOT00000108930	ENSRNOG00000019552	protein_coding	Lsm7
ENSRNOT00000109513	ENSRNOG00000019552	protein_coding	Lsm7
ENSRNOT00000067904	ENSRNOG00000017285	protein_coding	Tab1
ENSRNOT00000092614	ENSRNOG00000017285	protein_coding	Tab1
ENSRNOT00000005674	ENSRNOG00000004294	protein_coding	Ascl1
ENSRNOT00000115427	ENSRNOG00000066111	protein_coding	Kcns2
ENSRNOT00000110334	ENSRNOG00000070632	protein_coding	Or8s8
ENSRNOT00000107033	ENSRNOG00000070632	protein_coding	Or8s8
ENSRNOT00000049170	ENSRNOG00000028956	protein_coding	Mbd3
ENSRNOT00000103593	ENSRNOG00000028956	protein_coding	Mbd3
ENSRNOT00000100050	ENSRNOG00000028956	protein_coding	Mbd3
ENSRNOT00000092569	ENSRNOG00000017553	protein_coding	Mief1
ENSRNOT00000092429	ENSRNOG00000017553	protein_coding	Mief1
ENSRNOT00000006943	ENSRNOG00000005190	protein_coding	Nipal2
ENSRNOT00000113707	ENSRNOG00000005190	protein_coding	Nipal2
ENSRNOT00000014337	ENSRNOG00000067109	protein_coding	Or8s10
ENSRNOT00000014316	ENSRNOG00000067109	protein_coding	Or8s10
ENSRNOT00000007295	ENSRNOG00000005388	protein_coding	Rassf3
ENSRNOT00000010986	ENSRNOG00000008174	protein_coding	Appl2
ENSRNOT00000110485	ENSRNOG00000008174	protein_coding	Appl2
ENSRNOT00000023843	ENSRNOG00000067422	protein_coding	Gm55359
ENSRNOT00000075371	ENSRNOG00000068220	protein_coding	Ctdsp2
ENSRNOT00000105207	ENSRNOG00000068220	protein_coding	Ctdsp2
ENSRNOT00000104827	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000108676	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000104535	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000118624	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000010491	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000118944	ENSRNOG00000007686	protein_coding	Septin3
ENSRNOT00000065304	ENSRNOG00000017801	protein_coding	Atf4
ENSRNOT00000101922	ENSRNOG00000033787	protein_coding	Adamtsl5
ENSRNOT00000060811	ENSRNOG00000033787	protein_coding	Adamtsl5
ENSRNOT00000009260	ENSRNOG00000005528	protein_coding	Tbk1
ENSRNOT00000111412	ENSRNOG00000005528	protein_coding	Tbk1
ENSRNOT00000073237	ENSRNOG00000050419	protein_coding	Avil
ENSRNOT00000092529	ENSRNOG00000017847	protein_coding	Rps19bp1
ENSRNOT00000024080	ENSRNOG00000017916	protein_coding	Rexo1
ENSRNOT00000094624	ENSRNOG00000017916	protein_coding	Rexo1
ENSRNOT00000011326	ENSRNOG00000008331	protein_coding	Washc4
ENSRNOT00000071543	ENSRNOG00000048843	protein_coding	Tsfm
ENSRNOT00000099205	ENSRNOG00000048843	protein_coding	Tsfm
ENSRNOT00000115170	ENSRNOG00000048843	protein_coding	Tsfm
ENSRNOT00000007580	ENSRNOG00000005689	protein_coding	Yeats4
ENSRNOT00000103266	ENSRNOG00000005689	protein_coding	Yeats4
ENSRNOT00000066149	ENSRNOG00000042522	protein_coding	Pheta2
ENSRNOT00000105447	ENSRNOG00000007679	protein_coding	Cyth4
ENSRNOT00000077256	ENSRNOG00000007679	protein_coding	Cyth4
ENSRNOT00000056221	ENSRNOG00000007679	protein_coding	Cyth4
ENSRNOT00000107283	ENSRNOG00000007679	protein_coding	Cyth4
ENSRNOT00000074645	ENSRNOG00000047631	protein_coding	Eef1akmt3
ENSRNOT00000111254	ENSRNOG00000070907	protein_coding	Smdt1
ENSRNOT00000007623	ENSRNOG00000005763	protein_coding	Arl1
ENSRNOT00000103837	ENSRNOG00000005763	protein_coding	Arl1
ENSRNOT00000011484	ENSRNOG00000008569	protein_coding	Ndufa6
ENSRNOT00000075544	ENSRNOG00000047895	protein_coding	Mettl1
ENSRNOT00000117922	ENSRNOG00000047895	protein_coding	Mettl1
ENSRNOT00000026960	ENSRNOG00000019891	protein_coding	Sgta
ENSRNOT00000115492	ENSRNOG00000019891	protein_coding	Sgta
ENSRNOT00000110762	ENSRNOG00000019891	protein_coding	Sgta
ENSRNOT00000116891	ENSRNOG00000019891	protein_coding	Sgta
ENSRNOT00000105493	ENSRNOG00000019891	protein_coding	Sgta
ENSRNOT00000014720	ENSRNOG00000010834	protein_coding	Mpped1
ENSRNOT00000007357	ENSRNOG00000005572	protein_coding	RGD1306782
ENSRNOT00000047449	ENSRNOG00000025059	protein_coding	Nxph4
ENSRNOT00000024835	ENSRNOG00000018330	protein_coding	Fam83f
ENSRNOT00000009910	ENSRNOG00000007197	protein_coding	Nr1h4
ENSRNOT00000091227	ENSRNOG00000007197	protein_coding	Nr1h4
ENSRNOT00000085350	ENSRNOG00000025023	protein_coding	Stat6
ENSRNOT00000013764	ENSRNOG00000010209	protein_coding	Nol12
ENSRNOT00000080342	ENSRNOG00000018529	protein_coding	Csnk1g2
ENSRNOT00000025266	ENSRNOG00000018529	protein_coding	Csnk1g2
ENSRNOT00000120268	ENSRNOG00000063755	protein_coding	Gas2l3
ENSRNOT00000113705	ENSRNOG00000055305	protein_coding	Parvb
ENSRNOT00000080152	ENSRNOG00000055305	protein_coding	Parvb
ENSRNOT00000082805	ENSRNOG00000055305	protein_coding	Parvb
ENSRNOT00000109026	ENSRNOG00000055305	protein_coding	Parvb
ENSRNOT00000111995	ENSRNOG00000055305	protein_coding	Parvb
ENSRNOT00000059532	ENSRNOG00000038943	protein_coding	RGD1560034
ENSRNOT00000108898	ENSRNOG00000038943	protein_coding	RGD1560034
ENSRNOT00000064241	ENSRNOG00000005720	protein_coding	Spic
ENSRNOT00000111255	ENSRNOG00000005720	protein_coding	Spic
ENSRNOT00000005539	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000116059	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000103170	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000095939	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000107252	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000088861	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000104327	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000064448	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000005545	ENSRNOG00000004013	protein_coding	Grip1
ENSRNOT00000107707	ENSRNOG00000019383	protein_coding	Tef
ENSRNOT00000026258	ENSRNOG00000019383	protein_coding	Tef
ENSRNOT00000087548	ENSRNOG00000059015	protein_coding	Triobp
ENSRNOT00000094572	ENSRNOG00000059015	protein_coding	Triobp
ENSRNOT00000112806	ENSRNOG00000059015	protein_coding	Triobp
ENSRNOT00000086853	ENSRNOG00000059015	protein_coding	Triobp
ENSRNOT00000039306	ENSRNOG00000046492	protein_coding	Nemp1
ENSRNOT00000072906	ENSRNOG00000046492	protein_coding	Nemp1
ENSRNOT00000101083	ENSRNOG00000046492	protein_coding	Nemp1
ENSRNOT00000021582	ENSRNOG00000015916	protein_coding	Ttc38
