Gene	UHR_1	UHR_2	brain_1	brain_2
ALG14	33	30	17	22
ALG1L	5	2	3	4
ALG2	164	192	69	88
ALG3	517	539	86	88
ALG5	90	98	33	30
ALG6	42	56	17	11
ALG8	219	197	32	26
ALG9	164	174	103	106
ALK	25	29	32	32
ALKBH1	77	58	30	37
ALKBH2	131	172	44	52
ALKBH3	82	96	50	54
ALKBH4	114	109	96	134
ALKBH5	1486	1557	1092	1204
ALKBH6	140	118	97	125
ALKBH7	296	276	240	307
ALKBH8	50	50	28	26
ALLC	2	1	1	2
ALMS1	207	222	79	68
ALMS1P	5	1	8	4
ALOX12	31	24	7	18
ALOX12B	16	6	15	13
ALOX12P2	21	17	7	4
ALOX15	9	11	4	1
ALOX15B	3	4	6	11
ALOX5	23	18	151	169
ALOX5AP	11	11	19	23
ALOXE3	9	13	17	15
ALPI	14	13	1	1
ALPK1	50	47	15	12
ALPK2	94	104	1	1
ALPK3	106	95	51	48
ALPL	92	118	162	203
ALPP	8	13	1	1
ALPPL2	6	3	1	1
ALS2	156	181	525	551
ALS2CL	96	102	133	157
ALS2CR11	6	12	2	3
ALS2CR12	1	2	4	3
ALS2CR4	114	110	98	120
ALS2CR8	19	34	31	34
ALX1	40	47	1	1
ALX3	32	22	36	22
ALX4	26	34	6	13
AMAC1L2	1	2	2	1
AMAC1L3	1	2	1	1
AMACR	107	107	106	86
AMBN	7	4	1	1
AMBP	1425	1500	3	3
AMBRA1	416	439	346	388
AMD1	349	376	278	286
AMDHD1	15	18	9	7
AMDHD2	204	197	78	98
AMFR	811	882	783	894
AMH	349	346	70	65
AMHR2	23	23	1	1
AMICA1	5	5	20	25
AMIGO1	24	26	252	317
AMIGO2	180	178	42	30
AMIGO3	103	95	59	81
AMMECR1	150	136	15	20
AMMECR1L	311	352	112	122
AMN	61	57	3	4
AMN1	45	28	75	93
AMOT	159	186	203	211
AMOTL1	737	722	218	274
AMOTL2	487	507	477	530
AMPD1	3	5	1	1
AMPD2	908	920	842	945
AMPD3	52	70	107	117
AMPH	9	13	737	772
AMT	127	136	148	176
AMY2B	4	5	22	30
AMZ1	24	18	48	55
AMZ2	254	263	227	244
AMZ2P1	42	32	66	83
ANAPC1	114	138	35	19
ANAPC10	26	26	14	6
ANAPC11	577	649	311	331
ANAPC13	141	143	119	106
ANAPC16	266	322	129	156
ANAPC2	497	491	369	474
ANAPC4	66	82	47	44
ANAPC5	913	1001	499	506
ANAPC7	536	564	218	262
ANG	126	114	5	4
ANGEL1	270	272	236	237
ANGEL2	72	105	83	93
ANGPT1	28	36	12	21
ANGPT2	3	5	26	26
ANGPT4	3	1	2	2
ANGPTL1	7	6	4	2
ANGPTL2	234	252	293	330
ANGPTL4	193	208	306	393
ANGPTL5	2	2	1	2
ANGPTL6	13	9	2	2
ANGPTL7	3	4	13	18
ANK1	365	364	1187	1357
ANK2	92	98	2788	3093
ANK3	100	115	1488	1513
ANKAR	6	4	7	7
ANKDD1A	20	36	94	100
ANKFN1	3	6	1	3
ANKFY1	760	719	519	571
ANKH	726	727	1185	1334
ANKHD1	23	26	10	15
ANKHD1-EIF4EBP3	7	10	1	2
ANKIB1	386	353	260	288
ANKK1	6	1	8	9
ANKLE1	56	62	25	25
ANKLE2	644	599	316	322
ANKMY1	102	120	61	61
ANKMY2	128	129	128	110
ANKRA2	57	54	40	46
ANKRD1	69	60	3	3
ANKRD10	343	401	211	248
ANKRD11	1445	1356	900	970
ANKRD12	146	160	209	242
ANKRD13A	342	380	131	119
ANKRD13B	266	282	458	517
ANKRD13C	117	124	132	141
ANKRD13D	294	318	341	382
