Feature.ID	UHR_1	UHR_2	brain_1	brain_2
CNTN3	0.84	1.62	64.8	56.28
CNTN4	5.05	8.93	107.16	143.05
CNTN5	2.52	3.25	12.46	18.76
CNTN6	0.84	0.81	43.61	46.9
CNTNAP1	551.63	551.06	2633.01	2703.82
CNTNAP2	52.14	56	731.46	772.69
CNTNAP3	9.25	4.87	8.72	9.38
CNTNAP4	7.57	9.74	534.58	575.71
CNTNAP5	5.05	7.3	69.78	76.21
CNTROB	362.43	383.87	176.95	186.43
COASY	798.01	858.64	442.37	513.56
COBL	185.84	193.96	1489.09	1470.34
COBLL1	79.04	77.1	57.32	52.76
COBRA1	923.3	945.48	748.91	860.63
COCH	119.41	136.34	28.66	34
COG1	211.91	273.5	447.35	484.25
COG2	135.38	142.02	124.61	131.32
COG3	124.45	105.5	100.93	105.53
COG4	480.99	499.93	377.57	389.28
COG5	139.59	160.69	87.23	126.63
COG6	97.54	76.29	103.43	92.63
COG7	200.97	196.4	124.61	143.05
COG8	159.77	168.81	145.79	138.36
COIL	111	96.58	69.78	82.08
COL10A1	0.84	1.62	2.49	4.69
COL11A1	20.18	23.54	39.88	42.21
COL11A2	96.7	99.01	186.92	207.54
COL12A1	332.99	322.19	74.77	62.14
COL13A1	29.43	39.77	87.23	100.84
COL14A1	137.91	148.52	17.45	16.42
COL15A1	396.9	382.25	9.97	8.21
COL16A1	144.63	143.65	376.32	391.62
COL17A1	6.73	6.49	6.23	3.52
COL18A1	2156.9	2061.38	510.9	629.64
COL19A1	2.52	3.25	48.6	62.14
COL1A1	1701.13	1746.5	58.57	56.28
COL1A2	1857.54	1804.93	115.89	124.29
COL20A1	5.05	4.06	73.52	76.21
COL21A1	3.36	3.25	21.18	15.24
COL22A1	5.89	6.49	29.91	25.8
COL23A1	31.95	30.84	68.54	48.07
COL24A1	15.98	11.36	26.17	26.97
COL25A1	15.14	18.67	1.25	7.04
COL27A1	271.61	305.15	565.73	520.6
COL28A1	1.68	1.62	12.46	16.42
COL2A1	64.75	70.61	2.49	4.69
COL3A1	65.59	46.26	21.18	17.59
COL4A1	361.59	388.74	271.65	243.88
COL4A2	1262.19	1309.06	382.55	457.28
COL4A3	10.09	13.8	18.69	26.97
COL4A3BP	126.13	133.91	301.56	295.47
COL4A4	18.5	19.48	23.68	18.76
COL4A5	138.75	137.97	184.42	216.92
COL4A6	142.11	137.97	1.25	4.69
COL5A1	1153.71	1142.69	67.29	65.66
COL5A2	230.41	238.6	88.47	99.66
COL5A3	35.32	40.58	315.26	264.99
COL6A1	3659.58	3587.95	1616.19	1837.33
COL6A2	3998.46	3686.15	279.13	261.47
COL6A3	924.15	908.96	36.14	42.21
COL6A4P1	2.52	3.25	1.25	1.17
COL6A4P2	5.89	2.43	3.74	1.17
COL6A5	11.77	16.23	1.25	1.17
COL6A6	0.84	1.62	8.72	2.35
COL7A1	486.88	508.85	290.34	300.16
COL8A1	74	70.61	16.2	30.49
COL8A2	40.36	41.39	113.4	105.53
COL9A1	7.57	4.06	19.94	19.93
COL9A2	70.64	90.9	397.51	444.38
COL9A3	546.58	505.61	231.78	256.78
COLEC10	8.41	14.61	1.25	3.52
COLEC11	23.55	5.68	18.69	10.55
COLEC12	344.77	322.19	145.79	134.84
COLQ	7.57	17.04	61.06	89.11
COMMD1	56.34	77.91	66.04	82.08
COMMD10	49.61	43.82	31.15	29.31
COMMD2	59.7	74.66	43.61	36.35
COMMD3	68.11	63.3	78.5	63.32
COMMD4	290.11	262.95	105.92	119.6
COMMD5	158.09	137.16	138.32	152.43
COMMD6	85.77	94.14	63.55	84.42
COMMD7	230.41	226.43	233.02	293.13
COMMD8	37.84	30.84	14.95	18.76
COMMD9	123.61	154.2	193.15	202.85
COMP	8.41	6.49	29.91	45.73
COMT	749.24	775.05	783.8	799.66
COMTD1	121.09	108.75	42.37	45.73
COPA	1302.55	1390.22	1084.11	1149.07
COPB1	560.04	584.33	224.3	206.36
COPB2	704.67	740.15	300.31	282.58
COPE	1158.76	1104.55	857.32	819.59
COPG	1199.12	1276.6	1001.87	1000.16
COPG2	120.25	148.52	88.47	86.77
COPS2	201.82	211.01	137.07	165.32
COPS3	279.18	258.08	179.44	166.5
COPS4	112.68	110.37	152.02	153.6
COPS5	221.16	206.95	211.84	193.47
COPS6	804.74	814	581.93	721.1
COPS7A	500.33	516.97	869.78	919.25
COPS7B	333.84	296.22	279.13	269.68
COPS8	166.5	181.79	213.08	200.5
COPZ1	603.76	603	311.53	337.68
COPZ2	48.77	55.19	17.45	16.42
COQ10A	69.79	71.42	95.95	89.11
COQ10B	55.5	57.62	66.04	79.73
COQ2	58.86	51.13	13.71	24.62
COQ3	33.64	34.9	28.66	29.31
COQ4	291.79	271.88	215.58	235.68
COQ5	119.41	132.29	97.2	79.73
COQ6	100.07	81.97	92.21	85.59
COQ7	88.29	83.59	68.54	73.87
COQ9	354.02	371.7	235.51	274.37
CORIN	1.68	0.81	2.49	2.35
CORO1A	508.74	501.55	388.78	411.55
CORO1B	679.44	635.46	342.68	345.89
CORO1C	1161.28	1172.72	564.48	574.53
CORO2A	121.93	120.11	82.24	119.6
CORO2B	111	119.3	1548.91	1598.14
CORO6	68.95	55.19	442.37	452.59
CORO7	363.27	375.76	401.24	473.7
CORT	0.84	3.25	23.68	24.62
COTL1	1288.25	1301.76	508.41	534.67
COX10	100.91	104.69	56.07	52.76
COX11	153.88	155.82	173.21	173.53
COX15	229.56	198.02	153.27	152.43
COX16	108.48	101.45	76.01	90.28
COX17	61.39	48.69	67.29	57.45
COX18	68.11	53.56	58.57	57.45
COX19	159.77	131.47	125.86	154.77
COX4I1	1738.97	1808.99	2471.02	2595.95
COX4I2	0.84	0.81	11.21	10.55
COX4NB	278.34	245.91	124.61	157.12
COX5A	586.1	558.36	489.72	512.39
COX5B	671.04	691.46	1070.4	1075.2
COX6A1	280.86	276.74	401.24	487.77
COX6A2	0.84	0.81	7.48	4.69
COX6B1	578.54	651.69	664.17	673.02
