Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
50852_at	3.6976	3.86391	3.56884	3.8641	4.59084	3.65051	3.5826	3.89876	3.69782
50853_at	5.89629	5.91109	6.0226	6.11926	5.64286	5.92177	6.26782	5.99926	5.92384
50854_at	9.51652	9.38857	9.3089	9.83296	9.94706	10.13241	10.18782	10.09413	9.43647
50855_at	6.767	7.21919	7.52879	7.0436	6.64177	6.30463	6.31094	6.37991	6.54358
50856_at	5.5372	4.98557	5.13627	5.27311	5.6088	5.23264	4.84957	5.27311	5.24216
50859_at	3.52042	3.46187	3.49939	3.41054	3.50909	3.51907	3.52847	3.53177	3.44467
50861_at	3.77608	3.57246	3.96219	3.63638	3.43958	3.7174	3.94274	3.50909	3.67419
50862_at	6.65126	6.28976	6.83951	6.95209	5.89886	6.59784	7.07838	5.60923	6.40876
50863_at	5.46373	5.21883	5.05526	5.0356	4.93996	5.30304	4.81532	5.15072	5.48492
50865_at	9.48133	8.30348	9.55938	8.24004	7.90372	9.41502	10.12589	8.63322	8.90679
5087_at	9.42408	9.72277	8.54338	8.47886	8.32882	9.20361	9.72937	9.1245	9.6161
5089_at	5.81091	5.7442	6.16801	6.04053	6.38524	5.88427	6.18116	5.73982	5.8604
5090_at	7.38028	6.99056	8.61682	8.21147	8.00866	7.67338	9.60108	8.55271	8.0533
5091_at	7.04922	6.68881	7.4188	6.67259	7.17327	6.71764	6.89151	7.18549	6.76438
5092_at	7.82101	6.70914	8.09507	7.61944	7.47911	8.29868	9.17594	7.43954	8.10721
50937_at	5.34793	5.91358	5.57469	5.35142	5.35402	5.35898	5.45197	5.4829	5.50612
50939_at	4.13747	4.22174	3.94358	4.29362	4.16412	4.10323	4.20384	4.49201	4.22383
5093_at	9.56136	8.39264	10.43294	9.88313	9.32612	10.19422	10.24393	10.70837	9.9706
50940_at	4.65341	4.97343	5.02326	5.04736	4.74091	4.65682	4.78031	4.72672	4.85003
50943_at	5.29818	5.41604	5.72113	5.74916	5.74554	5.51952	5.75362	5.44856	5.36551
50944_at	5.35544	5.50761	5.4439	5.53412	5.50908	5.23699	5.4857	5.65772	5.37498
5094_at	7.68719	7.30317	7.42577	7.79698	7.63072	7.51201	7.89436	7.75683	7.65614
5095_at	6.94403	6.58004	6.55509	6.45241	6.17511	6.59191	6.73197	6.07036	6.49654
5096_at	7.71038	7.59478	7.64271	6.95511	7.99491	7.55717	8.06984	6.6893	7.61961
5097_at	6.27079	6.73668	6.40289	6.65546	6.49008	6.23602	6.35361	6.49627	6.0649
5098_at	4.6176	4.7387	4.61312	4.69722	4.77006	4.60269	4.56766	4.7774	4.60076
50999_at	7.6937	7.53639	7.87294	7.94444	7.64309	7.80873	8.17993	7.96616	8.2311
5099_at	4.33409	4.23773	4.13489	4.18234	4.36056	4.488	4.21974	4.20934	4.37537
509_at	10.60166	10.56836	10.44558	10.32128	11.06396	10.57921	10.45014	10.98986	10.64529
50_at	7.51071	7.58143	9.2755	8.55053	8.35194	7.69138	8.83492	8.0022	8.20418
51001_at	7.11921	7.05456	6.93214	6.26782	7.70203	6.9953	7.00554	6.08574	6.07091
51002_at	8.42211	6.50752	7.57469	7.08773	6.86019	7.75169	8.20391	7.8754	7.74244
51003_at	5.60012	5.82793	5.85486	5.5059	5.81489	5.66458	5.60258	5.82362	5.86952
51004_at	6.33271	6.60306	7.29564	6.49928	6.13347	6.75019	7.06482	6.38597	7.27257
51005_at	6.34663	6.04644	6.49718	6.59983	5.96367	5.77458	5.93871	6.04644	6.03579
51006_at	6.69861	6.49184	6.09044	6.94924	6.4258	6.49928	6.52236	6.60253	6.67735
51008_at	6.03492	5.69051	6.09426	5.51369	5.64187	6.17752	6.11087	5.89909	5.94008
51009_at	8.34287	7.57529	8.12092	6.89522	7.16756	7.68812	7.45451	7.2973	7.9182
5100_at	3.49764	3.53017	3.52847	3.39188	3.54533	3.59709	3.50213	3.55371	3.60904
51011_at	5.26637	4.79806	5.25101	5.32207	4.3838	4.80061	4.88906	4.59407	4.59463
51012_at	5.34241	4.44667	5.10017	3.93142	4.07199	4.55837	4.63259	3.87126	5.14024
51014_at	7.01307	5.52713	7.504	5.94582	5.84528	6.41252	6.48791	5.94334	7.01418
51015_at	7.49043	8.48933	5.63487	7.83722	8.22279	7.93299	6.82833	7.82487	7.43149
51016_at	7.42968	8.39053	7.49231	7.48006	7.51822	7.02483	7.2491	7.47628	6.69226
51018_at	5.53663	4.9942	4.93288	4.51387	4.78713	5.18926	5.73676	4.83156	4.86687
51019_at	9.14768	6.90107	8.65061	7.80691	7.6816	8.19124	8.03322	8.13352	8.74057
5101_at	5.29878	5.19584	5.12391	5.0741	5.10593	5.01657	5.29668	5.12631	5.14313
51020_at	7.26616	7.45582	6.96324	6.3013	7.0672	7.3481	7.08817	7.06908	6.90501
51021_at	7.89613	7.69278	7.82427	6.91703	7.62654	7.86839	7.86952	7.30732	7.69421
51022_at	7.96337	8.5188	7.78736	6.85443	7.65722	7.28096	7.9615	6.83163	8.10331
51023_at	4.15153	3.9513	4.11256	3.83918	3.90462	4.05692	4.1448	3.93567	4.10429
51024_at	9.09954	7.44044	8.77726	8.91896	8.26699	9.03697	9.56339	9.49633	8.69326
51026_at	6.10601	6.80643	6.04193	5.87616	5.36193	5.8915	5.32877	5.72456	6.13604
51027_at	6.99843	6.3556	7.07878	6.14637	7.27198	6.90898	6.74999	5.68784	6.53578
