Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
22872_at	9.7698	9.2893	10.1185	9.8939	9.7622	9.9604	9.8129	9.6926	10.2007
22873_at	4.1647	4.4031	3.9065	4.2023	4.2701	4.4097	3.9934	4.3678	4.0413
22874_at	6.4371	6.1646	5.9431	6.953	6.6838	6.2622	6.7845	6.407	6.5078
22875_at	6.2537	5.4902	6.8172	5.3282	5.6913	6.1579	6.7851	5.7283	6.8133
22876_at	7.0814	7.515	6.7932	6.6214	6.6677	6.9279	5.7274	6.934	6.7587
22877_at	6.6515	6.5336	6.1189	6.9397	6.4679	6.4828	6.3893	6.5084	6.3469
22878_at	7.9958	7.2493	8.7579	8.3473	7.5398	8.3305	8.7116	8.1911	8.6182
22879_at	6.4487	6.7648	6.4329	7.0073	6.1369	5.8365	5.9081	6.0968	6.1121
2287_at	8.2331	8.6431	8.3552	6.9977	7.8102	7.9861	8.136	7.439	8.1081
22880_at	7.1765	7.4912	7.0842	7.6875	7.1731	6.8787	7.3926	6.8898	6.8513
22881_at	4.7358	4.6041	4.7667	4.595	4.6859	4.924	4.6912	4.7484	4.7432
22882_at	8.0599	8.3573	7.2215	7.828	8.7127	8.0504	7.6895	7.707	7.7314
22883_at	7.8523	7.6645	9.3642	8.5774	8.4276	8.0653	8.5131	8.4052	8.6656
22884_at	7.215	7.0068	7.2504	6.7032	7.3383	7.6978	7.7865	7.3423	6.8999
22885_at	7.1285	6.0692	8.1893	5.5009	5.4976	6.3562	7.0117	6.3797	5.635
22887_at	6.638	7.4523	6.8239	7.0181	6.7434	6.9816	6.9735	6.976	6.9365
22888_at	6.9961	7.2701	7.1981	7.2675	7.3267	6.9995	6.9587	7.213	6.7808
22889_at	9.0745	8.9471	8.7638	7.9069	9.38	9.4441	9.5761	8.8833	8.9991
2288_at	8.8103	8.5062	8.9598	8.7365	7.7126	8.2419	8.4782	9.196	7.7562
22890_at	4.8761	4.7035	4.6757	4.5137	4.8304	4.7381	4.89	4.4687	4.8351
22891_at	5.0936	5.334	4.3883	4.5586	4.6151	4.7697	4.2177	4.857	5.2482
22893_at	6.7648	6.797	6.8608	7.3295	7.0448	6.9299	6.903	7.021	6.9873
22894_at	5.2733	5.2432	5.3346	5.068	5.2291	5.2362	5.2449	5.2674	5.2524
22895_at	5.3408	5.717	5.5314	5.8004	5.6173	5.4872	5.4903	5.7205	5.4744
22897_at	5.7277	6.2594	5.8259	5.9671	5.6739	5.7274	5.7417	5.8719	5.8749
22898_at	6.2801	6.6514	6.2191	6.5583	6.7442	6.2354	6.0711	6.5481	6.476
22899_at	5.6784	5.8052	5.9537	5.8883	5.9735	5.9613	5.8655	6.135	5.5821
2289_at	4.5477	4.9592	4.7644	4.6893	5.0583	4.4949	4.8829	4.5329	4.8018
22900_at	5.8864	6.5649	6.0831	6.2343	5.9821	5.8092	5.7699	5.8446	5.8951
22902_at	5.9729	6.1617	5.7064	5.9857	6.3975	6.0609	6.0905	6.0265	6.027
22903_at	7.0231	6.8735	6.9325	5.8213	6.5326	6.7309	6.5013	6.2785	7.1203
22904_at	5.8005	5.7981	5.5682	6.4254	6.2546	5.8594	5.6684	5.7887	6.0997
22905_at	6.5304	6.3657	6.1896	6.2668	6.0538	6.322	5.8382	6.4713	6.3407
22906_at	7.5302	7.2116	7.1353	7.2062	7.0391	7.4223	7.5379	7.6247	7.2964
22907_at	7.2584	6.8445	7.914	7.4079	7.607	7.2942	7.7993	7.6005	7.2291
22908_at	7.9163	7.1474	8.6441	6.9655	7.7469	8.1285	7.8344	7.4103	8.0221
22909_at	6.9054	7.4334	7.291	6.4095	7.04	6.9999	7.2856	7.2737	6.9453
2290_at	4.9222	5.3908	5.0951	5.1826	5.2583	4.954	4.9729	5.2172	5.0098
22911_at	6.318	6.3848	6.5779	5.2508	5.4145	6.4023	6.0351	5.7256	6.5843
22913_at	7.6186	6.9219	7.5075	7.977	8.0455	7.3409	7.886	7.445	7.1667
22915_at	3.4202	3.5767	3.5042	3.5966	3.65	3.6732	3.8163	3.6008	3.6412
22916_at	7.432	7.3673	7.3475	7.512	7.1787	7.7241	8.0117	7.2012	7.3802
22918_at	8.2343	7.5761	8.2237	7.8534	7.2671	8.8836	7.8057	7.9768	8.6948
22919_at	9.129	8.2513	9.0424	9.4252	9.6717	9.2453	9.3954	9.2435	8.9883
22920_at	8.4332	7.1879	7.7495	7.2736	7.1485	8.369	8.6787	7.6682	8.3144
22921_at	8.3773	8.6125	8.6816	8.297	8.4246	8.6693	8.5872	8.411	8.4283
22924_at	5.2658	5.6302	5.5365	5.4181	5.5626	5.26	5.5458	5.5788	5.3175
22925_at	3.6826	3.6675	3.6037	3.5893	3.717	3.6414	3.582	3.6787	3.7551
22926_at	6.6165	6.2542	7.0284	6.1592	6.1767	6.0739	6.4538	5.9421	6.713
22927_at	6.5191	6.5556	6.5691	6.4919	6.6252	6.7932	6.7584	7.1111	6.5197
22928_at	9.1471	9.3567	8.2818	9.1725	8.4028	8.593	8.1512	8.5805	7.8753
22929_at	7.4044	7.4539	7.4322	7.1979	8.1401	7.7167	8.0123	7.8738	7.0104
22930_at	7.0739	6.759	7.1995	7.1327	6.7473	6.8628	6.7452	6.8352	7.2182
22933_at	8.4411	8.5101	8.7613	8.9677	8.9345	8.4536	8.5874	8.7765	8.3309
22934_at	7.7253	7.8385	7.0947	7.3693	7.692	7.725	7.4481	7.5161	7.3818
22936_at	5.5531	5.2903	5.1154	5.4101	4.9832	4.6574	5.193	4.9681	6.5531
22937_at	7.9346	8.1795	7.9921	7.9023	8.5323	7.6668	8.2026	7.9614	7.4239
22938_at	7.4278	7.406	7.8113	7.0268	6.5021	7.5709	7.9149	6.8257	7.3024
22941_at	5.8381	5.2893	4.8292	5.652	4.9144	5.9877	6.1164	5.7329	5.203
22943_at	4.256	4.6438	4.1645	5.3446	4.4202	4.348	4.4624	4.81	4.3927
22944_at	6.2686	5.8682	5.8505	5.4455	5.7914	6.3584	6.2741	5.7136	5.7437
22948_at	10.395	10.3968	9.6668	10.451	10.764	9.7527	9.9563	10.4174	9.8079
2294_at	4.2316	5.3703	4.3361	4.5032	4.5174	4.1317	4.0776	4.3984	4.4388
22953_at	4.7187	5.0624	4.9959	5.0351	4.8854	4.9009	4.8736	5.2212	4.7617
22954_at	7.6051	7.9556	7.3888	7.3518	7.9558	7.6532	7.6125	7.405	7.8486
22955_at	6.5563	6.852	6.7382	7.698	7.5601	7.2443	7.2757	6.9477	6.87
2295_at	5.6492	5.8951	4.9416	5.5822	5.4376	5.8981	5.3428	5.9742	5.376
