Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
8929_at	5.07858	6.1292	5.09662	5.54808	5.29015	4.96768	5.21798	5.49422	5.4137
892_at	9.27368	8.7816	9.38062	9.27147	8.95325	9.94517	9.97948	9.25613	9.6495
8930_at	7.87618	7.9993	7.24262	6.98828	7.84815	7.36458	7.35498	6.68452	7.6268
8932_at	5.31518	6.0196	5.43612	5.60058	5.60345	5.48808	5.35608	5.70563	5.7045
8933_at	9.24978	9.7896	9.28002	9.94468	9.64875	9.69258	9.18198	9.94973	9.3238
8934_at	7.00738	6.316	5.73932	6.17078	6.73465	6.52238	6.33408	6.05942	6.2728
8935_at	5.10568	5.2861	5.07472	5.12578	5.22195	5.50018	5.21908	5.26722	5.603
8936_at	3.91668	4.3958	4.14672	3.99658	4.94735	4.32138	3.99018	4.60052	4.0649
8938_at	7.15198	7.573	7.49662	6.99448	7.17925	6.97018	6.44698	7.24062	6.5207
8939_at	5.95948	5.885	5.92282	5.14318	5.61615	5.69718	5.86198	4.84912	5.7685
8940_at	4.07218	4.3303	4.41762	4.45327	4.43055	4.16638	4.20758	4.33772	4.2753
8941_at	4.02408	4.5517	4.23972	4.26388	4.69145	4.08318	4.08038	4.40233	4.1924
8942_at	5.03678	5.3354	5.06852	7.61188	6.30535	5.22398	5.05608	6.26172	5.1533
8943_at	7.22608	7.0928	7.78162	7.82298	7.08625	6.75318	7.12978	7.10322	7.1705
8945_at	6.14268	6.7067	6.26032	6.36198	6.06375	6.05138	6.28728	6.45762	6.3523
894_at	5.75368	5.8213	5.29442	5.99508	6.25325	5.82818	5.09868	6.07322	5.582
