Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
79982_at	5.80703	5.69698	6.37261	5.19985	5.5506	5.59715	5.79548	5.5044	6.03353
79983_at	4.80422	4.71873	4.70186	5.48446	4.76519	4.5794	4.65991	4.70353	5.1481
79987_at	5.15578	5.21955	5.10183	5.29584	5.25519	5.79254	5.35852	5.579	5.40205
79989_at	6.15327	6.52469	6.10043	6.27262	6.2018	5.98741	6.24415	6.09106	6.16071
79990_at	3.82354	3.76539	4.0382	4.05228	3.96848	3.87127	4.04995	3.95822	3.92101
79991_at	6.85612	7.13274	8.0914	7.06431	6.52486	7.45036	7.53168	7.20701	7.11493
799_at	4.559	4.85375	4.70121	4.66691	4.5794	4.63731	4.6727	4.66615	4.60722
80000_at	6.72153	6.76041	6.42177	6.46377	6.30693	6.80751	7.67036	7.22446	7.74204
80003_at	6.75456	6.93765	6.35661	6.527	7.28408	6.50557	6.79951	6.44347	6.25971
80004_at	8.09561	8.35385	8.02025	8.73682	7.77581	7.47628	7.78854	8.5239	7.60361
80005_at	4.56144	4.57421	4.76443	4.4554	4.67105	4.68772	4.40887	4.67632	4.65395
80006_at	5.19758	4.12896	4.91505	4.04027	4.15154	4.58405	4.71157	4.08479	4.7385
80007_at	5.14602	4.82135	5.26725	4.93243	4.9136	5.26461	5.33675	5.30939	5.24143
80008_at	3.65226	3.71311	3.65335	3.55506	3.59235	3.57937	3.54781	3.7216	3.61771
8000_at	4.12617	4.559	4.02031	5.48764	4.32683	4.14192	4.2519	4.2753	4.24093
80010_at	6.23462	6.94866	6.47167	6.59107	6.67444	6.49627	6.48444	6.22383	7.06803
80011_at	7.40512	7.42673	7.15413	7.12038	6.94002	6.61902	6.75951	7.16308	7.16331
80013_at	6.52389	6.3826	6.94925	6.15283	6.40597	7.06231	6.96946	6.47644	7.1871
80014_at	6.08917	6.07154	6.11459	6.38607	6.28813	6.17623	5.87064	6.23347	6.20452
80017_at	7.89822	6.88292	7.84937	8.15077	8.11147	7.40047	7.69344	7.22464	7.26125
80019_at	5.36016	5.64287	5.41482	5.30222	5.03997	5.16413	5.18518	4.73133	5.29879
8001_at	3.41468	3.53648	3.49702	3.57937	3.62155	3.48286	3.57937	3.62742	3.44859
80020_at	5.29627	5.89946	5.91963	5.96313	6.1735	5.72824	5.81199	5.86396	6.13375
80021_at	6.97643	7.16092	7.25689	7.11025	7.13122	7.00127	7.39569	6.92629	7.16592
80022_at	6.64457	6.70782	6.79389	6.82869	6.96859	6.78277	6.71304	6.87215	6.90961
80023_at	6.70953	6.28207	6.6688	6.57986	7.44581	6.32295	6.4029	6.72613	6.64863
80024_at	6.75407	7.02267	6.88924	7.47859	7.11397	6.86806	6.75559	6.94739	7.17865
80025_at	8.50935	8.83814	7.79987	7.5481	8.10332	7.84512	7.71966	7.95721	7.49124
80028_at	4.90582	5.46427	5.42886	5.34393	5.81931	5.50195	5.53664	5.3675	4.91928
80031_at	5.37573	5.71692	5.29291	5.17804	5.34552	5.20952	5.11892	5.74839	5.30154
80032_at	5.0534	5.03188	5.16983	4.9991	5.11353	5.11694	5.17705	5.19116	5.00276
80034_at	4.2335	4.13661	4.42432	4.20899	4.56243	4.22459	4.4134	4.22364	4.15289
80035_at	3.68029	3.63476	3.8171	3.84691	3.77041	3.95191	4.02421	4.13847	3.83333
80036_at	4.56243	5.24624	4.74092	4.70859	4.61665	4.63584	4.71941	5.07827	4.62712
80054_at	6.55092	7.14821	7.13252	7.10318	7.25106	6.9062	6.7316	7.36252	6.52509
80055_at	3.80378	3.39189	3.67384	3.47203	3.44468	3.68808	3.78603	3.55192	3.54075
80059_at	3.56775	3.5812	3.51512	3.51995	3.66253	3.54212	3.47203	3.44613	3.58404
80063_at	5.9839	6.45997	6.12303	6.4445	6.46032	6.44426	7.13	7.23609	6.17659
80067_at	4.37979	4.59863	4.30774	4.06542	4.08654	4.06004	4.1491	3.93182	4.50896
80069_at	6.31384	6.78233	6.17753	6.55627	6.53455	6.51689	6.4958	6.42372	6.37528
80071_at	5.99966	5.63233	5.15753	5.50103	5.45836	5.48408	5.55405	4.99421	5.64141
80072_at	3.71561	3.73234	3.87334	3.99863	3.82381	3.90085	3.80568	3.93103	3.86821
80086_at	7.19284	7.56951	7.11831	6.96248	7.17865	6.82405	6.7333	6.71957	6.84181
80094_at	5.66498	6.26894	5.84507	5.92079	6.19712	6.1331	5.85862	6.39571	5.87244
80095_at	7.20202	7.05249	7.17612	7.00656	6.97347	7.21741	7.56253	7.47563	7.32163
80097_at	10.87342	11.65503	11.53716	9.64492	10.46638	10.9237	11.53716	11.24364	10.66098
80099_at	4.92908	5.59967	4.81596	4.78654	4.96428	4.76091	4.76239	5.21402	5.36716
800_at	7.06447	6.62333	5.32352	6.87735	6.01035	7.18987	6.39082	6.62218	7.37911
80108_at	4.5838	4.43119	4.55222	4.17003	4.47143	4.57217	4.75237	4.6301	4.3341
